city,state_id,lat,lng,zips
Arden-Arcade,CA,38.6017,-121.3845,95821 95864 95825 95860 95865 95866
Tracy,CA,37.7269,-121.4523,95377 95376 95304
Manteca,CA,37.7927,-121.2264,95337 95336
San Marcos,CA,33.135,-117.1743,92078 92096 92069 92079
Compton,CA,33.893,-118.2274,90220 90221 90222 90223
Carson,CA,33.8374,-118.2559,90248 90810 90747 90746 90745 90224 90749 90895
South Gate,CA,33.9447,-118.1926,90280
Chino,CA,33.9836,-117.6654,91708 91710
Santa Monica,CA,34.0235,-118.481,90401 90402 90403 90404 90405 90406 90407 90408 90409 90410 90411
Westminster,CA,33.7523,-117.9938,92655 92683 92684 92685
San Leandro,CA,37.7074,-122.1599,94578 94579 94577 94622
Citrus Heights,CA,38.6948,-121.288,95621 95610 95611
Hawthorne,CA,33.9147,-118.3476,90304 90250 90251 90310
Whittier,CA,33.9678,-118.0188,90603 90606 90602 90601 90605 90607 90608 90609
Livermore,CA,37.6868,-121.7607,94550 94551
Lake Forest,CA,33.6605,-117.6714,92610 92630 92609
San Ramon,CA,37.7624,-121.9365,94582 94583
Newport Beach,CA,33.6151,-117.8668,92662 92663 92660 92661 92625 92657 92658 92659
Buena Park,CA,33.8572,-118.0046,90621 90620 90622 90624
Madera,CA,36.963,-120.0778,93638 93637 93639
Redwood City,CA,37.5025,-122.2253,94065 94062 94063 94061
Mountain View,CA,37.4001,-122.0796,94043 94040 94041 94039 94042
Folsom,CA,38.6668,-121.1422,95630 95671 95763
Napa,CA,38.2975,-122.301,94559 94558 94581
Alhambra,CA,34.084,-118.1355,91803 91801 91802 91804 91896 91899
Rancho Cordova,CA,38.5737,-121.2527,95742 95670 95827 95741
Lakewood,CA,33.8471,-118.1222,90715 90712 90713 90711 90714
Turlock,CA,37.5053,-120.8588,95380 95382 95381
Davis,CA,38.5553,-121.737,95618 95616 95617
Perris,CA,33.7898,-117.2233,92570 92571 92572 92599
Tustin,CA,33.7311,-117.8107,92780 92782 92623 92781
Upland,CA,34.1178,-117.6604,91784 91786 91785
Milpitas,CA,37.4336,-121.8921,95035
Carmichael,CA,38.6318,-121.3263,95841 95628 95608 95609
Chino Hills,CA,33.9508,-117.7254,91709
Pleasanton,CA,37.6663,-121.8805,94566 94588
Bellflower,CA,33.888,-118.1271,90706 90707
Alameda,CA,37.7668,-122.267,94501 94502
Pittsburg,CA,38.0182,-121.8965,94565
Apple Valley,CA,34.5352,-117.2109,92308 92307
Camarillo,CA,34.223,-119.0321,93012 93010 93011
Lodi,CA,38.1218,-121.2932,95240 95242
Redlands,CA,34.0512,-117.1712,92359 92373 92374 92346 92375
Rocklin,CA,38.8075,-121.2489,95677 95765
Lake Elsinore,CA,33.6847,-117.3344,92570 92532 92530
Baldwin Park,CA,34.0829,-117.9722,91706
Dublin,CA,37.7161,-121.8963,94568
Eastvale,CA,33.9617,-117.5803,92880 91752
Tulare,CA,36.1995,-119.34,93274 93275
Redondo Beach,CA,33.8577,-118.3765,90278 90277
Walnut Creek,CA,37.9024,-122.0399,94597 94598 94596 94595
Porterville,CA,36.0643,-119.0338,93257
El Paso de Robles,CA,35.6394,-120.656,93446 93447
Hanford,CA,36.3274,-119.6549,93230
Union City,CA,37.6032,-122.0181,94552 94587
Yorba Linda,CA,33.889,-117.7714,92886 92887 92885
Palo Alto,CA,37.3905,-122.1468,94028 94022 94303 94301 94306 94304 94302
Watsonville,CA,36.9206,-121.7708,95076 95019 95077
Castro Valley,CA,37.7088,-122.0626,94546 94552 94578
Lynwood,CA,33.924,-118.2016,90262
Brentwood,CA,37.9356,-121.719,94513
South San Francisco,CA,37.6538,-122.4196,94080 94083
Laguna Niguel,CA,33.5275,-117.705,92677 92607
San Clemente,CA,33.4499,-117.6102,92673 92672 92674
La Habra,CA,33.9282,-117.9515,90631 90632 90633
Florence-Graham,CA,33.9682,-118.2447,90001 90002
Encinitas,CA,33.0492,-117.261,92007 92075 92024
Montebello,CA,34.0155,-118.1108,90640
Woodland,CA,38.6712,-121.75,95776 95695
La Mesa,CA,32.7703,-117.0204,91941 91942 91943 91944
Pico Rivera,CA,33.9901,-118.0888,90660 90661 90662
San Rafael,CA,37.9905,-122.5221,94901 94903 94912 94915
Gardena,CA,33.8943,-118.3072,90249 90247
Monterey Park,CA,34.0497,-118.1326,91755 91754 91756
Santee,CA,32.8554,-116.9851,92071 92040
Petaluma,CA,38.2423,-122.6266,94954 94952 94953
Cupertino,CA,37.3168,-122.0466,95014 95015 95108 95170
Highland,CA,34.1113,-117.165,92359 92410 92346
Fountain Valley,CA,33.7105,-117.9514,92708 92728
National City,CA,32.6654,-117.0983,92136 91950 91951
Arcadia,CA,34.1342,-118.0373,91006 91007 91066 91077
South Whittier,CA,33.9336,-118.0312,90604 90605
Hacienda Heights,CA,33.997,-117.9727,91745 91716
Beaumont,CA,33.9076,-116.9766,92223
San Jacinto,CA,33.797,-116.9916,92583 92582 92581
West Sacramento,CA,38.5557,-121.5505,95605 95691 95798 95799 95899
Yucaipa,CA,34.0336,-117.0429,92399
Colton,CA,34.0538,-117.3255,92324
Diamond Bar,CA,33.9992,-117.8161,91789 91765
Huntington Park,CA,33.98,-118.2167,90255
Novato,CA,38.092,-122.5575,94949 94945 94947 94998
Paramount,CA,33.8977,-118.1651,90723
Placentia,CA,33.8807,-117.8553,92870 92811 92871
Cathedral City,CA,33.8362,-116.4642,92276 92234 92235
Lincoln,CA,38.8774,-121.2937,95648
Palm Desert,CA,33.7378,-116.3695,92260 92211 92255
Glendora,CA,34.1449,-117.8467,91740 91741
Aliso Viejo,CA,33.5792,-117.7289,92656
Delano,CA,35.7662,-119.2635,93215
El Dorado Hills,CA,38.675,-121.049,95762 95682
Rosemead,CA,34.0689,-118.0823,91770 91771 91772
Covina,CA,34.0903,-117.8818,91724 91722 91723
Florin,CA,38.4832,-121.4043,95823 95828
Cypress,CA,33.8171,-118.0386,90630
Azusa,CA,34.1386,-117.9124,91702 91010
Antelope,CA,38.7153,-121.361,95843
Ceres,CA,37.5952,-120.962,95358 95351 95307
Poway,CA,32.9871,-117.0201,92064 92074
Cerritos,CA,33.8678,-118.0686,90703
